Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Cabin_n,Transported,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_False,CryoSleep_True,Cabin_d_A,Cabin_d_B,Cabin_d_C,Cabin_d_D,Cabin_d_E,Cabin_d_F,Cabin_d_G,Cabin_d_T,Cabin_s_P,Cabin_s_S,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_False,VIP_True
25.0,0.0,0.0,1938.0,0.0,1.0,11,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
2.0,0.0,0.0,0.0,0.0,0.0,1,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False
38.0,0.0,0.0,0.0,0.0,0.0,1,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False
27.0,279.0,605.0,3374.0,286.0,3.0,1,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False
36.0,0.0,0.0,0.0,0.0,0.0,7,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
22.0,45.0,1096.0,148.0,1377.0,1.0,12,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
62.0,0.0,592.0,0.0,17.0,25.0,13,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
15.0,0.0,0.0,0.0,0.0,0.0,14,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
62.0,1.0,153.0,197.0,0.0,460.0,6,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
0.0,0.0,0.0,0.0,0.0,0.0,10,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
18.0,1.0,258.0,446.0,0.0,0.0,10,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
21.0,1946.0,37.0,0.0,0.0,24.0,15,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False
42.0,887.0,0.0,9.0,6.0,0.0,16,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
19.0,190.0,0.0,5.0,1.0,726.0,13,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
17.0,16.0,2165.0,0.0,0.0,52.0,14,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
14.0,0.0,1.0,0.0,0.0,1063.0,17,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
37.0,46.0,83.0,738.0,0.0,12.0,3,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
42.0,1.0,8397.0,0.0,0.0,506.0,3,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
27.0,147.0,0.0,1018.0,0.0,0.0,18,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
28.0,14.0,0.0,1295.0,0.0,0.0,15,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
38.0,0.0,5840.0,0.0,321.0,9654.0,4,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
13.0,0.0,0.0,0.0,0.0,0.0,13,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
42.0,7406.0,0.0,0.0,0.0,0.0,16,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
2.0,0.0,0.0,0.0,0.0,0.0,16,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
8.0,0.0,0.0,0.0,0.0,0.0,16,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
24.0,688.0,0.0,0.0,0.0,17.0,14,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
40.0,0.0,0.0,0.0,0.0,0.0,5,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
43.0,211.0,0.0,0.0,638.0,513.0,17,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
45.0,0.0,0.0,0.0,0.0,0.0,5,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
35.0,0.0,0.0,0.0,0.0,0.0,15,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
27.0,1.0,697.0,31.0,188.0,0.0,20,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
19.0,0.0,0.0,670.0,1.0,34.0,9,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
3.0,0.0,0.0,0.0,0.0,0.0,9,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
54.0,0.0,1208.0,0.0,3.0,637.0,2,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False
26.0,0.0,856.0,5.0,32.0,0.0,11,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
26.0,0.0,2811.0,957.0,0.0,87.0,11,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
23.0,311.0,427.0,526.0,37.0,0.0,19,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False
18.0,0.0,0.0,0.0,830.0,91.0,23,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
9.0,0.0,0.0,0.0,0.0,0.0,18,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False
6.0,0.0,0.0,0.0,0.0,0.0,18,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
21.0,1743.0,5.0,17.0,0.0,0.0,2,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
23.0,0.0,0.0,0.0,0.0,0.0,19,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
31.0,562.0,0.0,326.0,0.0,0.0,19,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
42.0,2209.0,11418.0,0.0,1868.0,445.0,5,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False
28.0,0.0,0.0,0.0,0.0,0.0,5,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False
29.0,0.0,0.0,0.0,0.0,0.0,6,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
48.0,0.0,2537.0,87.0,17.0,13.0,1,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True
64.0,0.0,0.0,804.0,0.0,0.0,23,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
27.0,82.0,157.0,429.0,238.0,1.0,20,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
33.0,1.0,2223.0,0.0,12.0,404.0,4,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
13.0,0.0,0.0,0.0,0.0,0.0,0,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False
29.0,0.0,0.0,0.0,699.0,74.0,21,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
18.0,55.0,597.0,49.0,0.0,1.0,27,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
67.0,0.0,0.0,0.0,0.0,0.0,27,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
35.0,701.0,0.0,296.0,0.0,25.0,7,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
61.0,2353.0,334.0,9.0,316.0,2.0,3,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
45.0,2103.0,6.0,0.0,0.0,0.0,8,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
19.0,0.0,0.0,0.0,0.0,0.0,29,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
36.0,2738.0,0.0,0.0,0.0,0.0,5,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
19.0,0.0,14.0,730.0,0.0,0.0,17,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
47.0,97.0,418.0,126.0,25.0,55.0,23,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
13.0,0.0,0.0,0.0,0.0,0.0,18,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
35.0,0.0,0.0,0.0,0.0,0.0,6,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False
24.0,0.0,0.0,0.0,0.0,0.0,19,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
26.0,440.0,0.0,0.0,0.0,462.0,29,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
20.0,0.0,420.0,210.0,0.0,0.0,31,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
56.0,0.0,0.0,0.0,0.0,0.0,25,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
50.0,0.0,0.0,0.0,0.0,0.0,26,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
42.0,1072.0,0.0,10.0,0.0,76.0,31,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
38.0,0.0,0.0,0.0,0.0,0.0,20,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
22.0,4119.0,0.0,0.0,0.0,61.0,22,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
26.0,0.0,0.0,0.0,0.0,0.0,8,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False
17.0,0.0,0.0,0.0,0.0,0.0,8,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False
17.0,0.0,0.0,0.0,0.0,0.0,28,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
13.0,0.0,0.0,0.0,0.0,0.0,35,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
27.0,1365.0,0.0,48.0,22.0,137.0,35,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
31.0,0.0,0.0,0.0,0.0,0.0,23,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
24.0,0.0,0.0,0.0,221.0,567.0,10,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
19.0,0.0,0.0,0.0,0.0,0.0,30,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
32.0,0.0,0.0,0.0,0.0,0.0,24,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
21.0,287.0,0.0,16.0,115.0,175.0,38,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
38.0,0.0,10346.0,1.0,14970.0,2111.0,2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
38.0,3414.0,0.0,161.0,28.0,119.0,6,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
19.0,1.0,219.0,673.0,2.0,11.0,26,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
0.0,0.0,0.0,0.0,0.0,0.0,26,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
3.0,0.0,0.0,0.0,0.0,0.0,26,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
20.0,0.0,0.0,3.0,299.0,92.0,27,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
24.0,0.0,0.0,0.0,0.0,0.0,3,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False
37.0,17.0,146.0,426.0,0.0,232.0,36,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
25.0,62.0,0.0,0.0,0.0,956.0,28,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
56.0,0.0,0.0,0.0,0.0,0.0,31,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
49.0,84.0,3.0,401.0,202.0,98.0,8,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
11.0,0.0,0.0,0.0,0.0,0.0,32,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False
1.0,0.0,0.0,0.0,0.0,0.0,29,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
8.0,0.0,0.0,0.0,0.0,0.0,29,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
39.0,0.0,0.0,10.0,898.0,0.0,29,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
2.0,0.0,0.0,0.0,0.0,0.0,41,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
0.0,0.0,0.0,0.0,0.0,0.0,41,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
39.0,406.0,0.0,867.0,0.0,0.0,42,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
25.0,1052.0,0.0,719.0,0.0,7.0,5,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
36.0,0.0,972.0,0.0,795.0,575.0,5,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False
18.0,0.0,0.0,0.0,0.0,0.0,33,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
15.0,0.0,0.0,0.0,0.0,0.0,31,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
35.0,0.0,0.0,0.0,0.0,0.0,3,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
47.0,0.0,0.0,0.0,0.0,0.0,3,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
45.0,0.0,0.0,0.0,0.0,0.0,9,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
51.0,0.0,0.0,0.0,0.0,0.0,8,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
29.0,0.0,2.0,66.0,0.0,705.0,34,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
19.0,0.0,0.0,0.0,0.0,0.0,32,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
29.0,902.0,1.0,137.0,0.0,0.0,44,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
11.0,0.0,0.0,0.0,0.0,0.0,44,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
17.0,848.0,0.0,307.0,182.0,0.0,44,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
13.0,192.0,0.0,0.0,51.0,739.0,9,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
35.0,147.0,188.0,0.0,10.0,387.0,45,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
21.0,367.0,281.0,0.0,0.0,146.0,46,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
21.0,0.0,56.0,0.0,0.0,1918.0,40,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False
38.0,1517.0,0.0,0.0,27.0,0.0,47,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
19.0,0.0,0.0,0.0,0.0,0.0,36,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
2.0,0.0,0.0,0.0,0.0,0.0,37,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
0.0,0.0,0.0,0.0,0.0,0.0,37,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
13.0,0.0,0.0,0.0,0.0,0.0,37,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
16.0,0.0,3.0,0.0,0.0,1099.0,48,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
1.0,0.0,0.0,0.0,0.0,0.0,37,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
15.0,0.0,0.0,0.0,0.0,0.0,37,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
21.0,2237.0,0.0,119.0,0.0,0.0,13,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
23.0,1215.0,80.0,1.0,2.0,0.0,13,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
33.0,1933.0,12.0,188.0,1.0,0.0,13,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
21.0,0.0,0.0,0.0,0.0,0.0,13,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
41.0,1230.0,0.0,301.0,43.0,1023.0,13,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
16.0,915.0,0.0,221.0,234.0,0.0,13,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
42.0,0.0,0.0,0.0,0.0,0.0,13,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
20.0,1406.0,0.0,0.0,11.0,0.0,41,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
24.0,0.0,0.0,0.0,0.0,0.0,41,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
16.0,0.0,0.0,0.0,0.0,0.0,14,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
21.0,0.0,2.0,665.0,0.0,9.0,35,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
32.0,181.0,0.0,5.0,1634.0,0.0,42,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True
58.0,0.0,0.0,0.0,0.0,0.0,38,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
24.0,4.0,7.0,0.0,713.0,79.0,43,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
30.0,85.0,0.0,1.0,1720.0,0.0,44,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
32.0,56.0,0.0,256.0,1438.0,0.0,45,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
42.0,0.0,0.0,0.0,0.0,0.0,11,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False
35.0,0.0,0.0,0.0,0.0,0.0,52,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
21.0,0.0,0.0,0.0,0.0,0.0,37,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
46.0,0.0,3571.0,0.0,0.0,7.0,6,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
33.0,0.0,86.0,796.0,584.0,10912.0,6,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False
21.0,2947.0,0.0,287.0,27.0,0.0,8,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
33.0,0.0,1.0,0.0,8620.0,1063.0,10,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
30.0,335.0,695.0,541.0,0.0,0.0,53,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
29.0,272.0,615.0,0.0,0.0,1.0,42,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
21.0,702.0,172.0,408.0,2.0,6.0,54,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
24.0,0.0,0.0,0.0,0.0,0.0,3,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False
60.0,0.0,0.0,0.0,0.0,0.0,49,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
22.0,0.0,0.0,313.0,299.0,92.0,50,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
26.0,0.0,4810.0,0.0,981.0,2054.0,16,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
26.0,66.0,29.0,0.0,0.0,803.0,56,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
28.0,0.0,0.0,0.0,0.0,0.0,43,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
13.0,118.0,0.0,0.0,754.0,1.0,51,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
47.0,0.0,231.0,592.0,0.0,0.0,52,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False
63.0,0.0,25.0,128.0,0.0,1240.0,59,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
